,timestamp,packed,latfrac,lonfrac,ox,oy,oz,flight_state,o2,o3,voltage,current,temp,flip_status,time,sec,sats,gps_speed,gps_alt
108,109.998,3141278333221383744,0,0,-0.6929133858267716,0.14173228346456693,-0.7007874015748031,Flight,148,120,8.2,0,29,255,19:19:16,69556,3,16,2790
109,110.559,3148034870828780928,0,0,-0.7165354330708661,-0.4330708661417323,-0.5354330708661418,Flight,54,246,8.19,0,29,255,19:19:20,69560,3,17,2796
110,111.5681,3153664370631431504,0,0,0.13385826771653545,-0.18110236220472442,-0.968503937007874,Flight,90,254,8.19,0,29,255,19:19:21,69561,4,17,2801
111,112.5694,3157040970840333600,0,0,-0.28346456692913385,0.7244094488188977,-0.6220472440944882,Flight,4,132,8.2,0,29,255,19:19:22,69562,4,16,2804
112,113.5829,3159290571630765296,0,0,-0.889763779527559,0.023622047244094488,-0.44881889763779526,Flight,175,8,8.19,0,29,255,19:19:23,69563,4,14,2806
113,114.587,3162667171839667392,0,0,-0.023622047244094488,0.952755905511811,-0.28346456692913385,Flight,133,214,8.19,0,29,255,19:19:24,69564,4,13,2809
114,115.5984,3163793071746512016,0,0,-0.31496062992125984,0.16535433070866143,-0.9291338582677166,Flight,122,32,8.18,0,29,255,19:19:25,69565,4,13,2810
115,116.603,3162666072059608160,0,0,-0.5039370078740157,0.6141732283464567,-0.5984251968503937,Flight,146,55,8.19,0,29,255,19:19:26,69566,3,12,2809
116,117.998,3162666033404902496,0,0,-0.4645669291338583,-0.7401574803149606,-0.47244094488188976,Flight,114,165,8.2,0,29,255,19:19:26,69566,3,12,2809
117,118.9981,3162666033404902496,0,0,-0.48031496062992124,-0.8503937007874016,-0.2047244094488189,Flight,90,216,8.19,0,29,255,19:19:26,69566,3,12,2809
118,119.9979,3162666033404902496,0,0,-0.5826771653543307,0.2992125984251969,-0.7480314960629921,Flight,10,161,8.19,0,29,255,19:19:26,69566,3,12,2809
119,120.9979,3162666033404902496,0,0,-0.41732283464566927,0.10236220472440945,-0.8976377952755905,Flight,14,227,8.2,0,29,255,19:19:26,69566,3,12,2809
120,121.9979,3162666033404902496,0,0,-0.12598425196850394,-0.12598425196850394,-0.9763779527559056,Flight,80,115,8.19,0,29,255,19:19:26,69566,3,12,2809
121,122.6574,3177291775732296512,0,0,0.047244094488188976,-0.09448818897637795,-0.9921259842519685,Flight,250,238,8.2,0,29,255,19:19:32,69572,3,2,2822
122,123.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,187,180,8.19,0,29,255,19:19:32,69572,3,2,2822
123,124.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,74,112,8.19,0,29,255,19:19:32,69572,3,2,2822
124,125.9979,3177291737077590848,0,0,0.015748031496062992,-0.05511811023622047,-0.9921259842519685,Flight,148,120,8.19,0,29,255,19:19:32,69572,3,2,2822
125,126.998,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,54,246,8.19,0,29,255,19:19:32,69572,3,2,2822
126,127.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,90,254,8.2,0,29,255,19:19:32,69572,3,2,2822
127,128.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,4,132,8.19,0,29,255,19:19:32,69572,3,2,2822
128,129.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,175,8,8.19,0,29,255,19:19:32,69572,3,2,2822
129,130.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,133,214,8.19,0,29,255,19:19:32,69572,3,2,2822
