,timestamp,humidity,temperature,grim_voltage,grim_current,load_cell_voltage,load_cell_current,bat_voltage,bat_current
43,13498154,18.8232421875,29.020000457763672,3263.75,23.75,5005.0,83.75,7976.25,427.5
44,13499154,19.3642578125,28.770000457763672,3261.25,26.25,5003.75,65.0,8001.25,491.25
45,13500154,19.19140625,28.56999969482422,3263.75,23.75,5002.5,63.75,7995.0,406.25
46,13501154,19.404296875,28.34000015258789,3262.5,26.25,5002.5,66.25,7992.5,473.75
47,13502154,19.5048828125,28.229999542236328,3266.25,22.5,5002.5,65.0,7981.25,432.5
48,13503154,19.6103515625,27.959999084472656,3262.5,22.5,5005.0,63.75,7998.75,421.25
49,13504154,20.107421875,27.799999237060547,3263.75,25.0,5003.75,63.75,8002.5,427.5
50,13505154,20.5869140625,27.780000686645508,3261.25,26.25,5003.75,85.0,7996.25,397.5
51,13506154,20.2705078125,27.770000457763672,3258.75,26.25,5002.5,66.25,7995.0,473.75
52,13507154,20.9033203125,27.530000686645508,3263.75,23.75,5002.5,63.75,7976.25,416.25
53,13508154,21.3427734375,27.440000534057617,3265.0,21.25,5003.75,63.75,7993.75,433.75
54,13509154,20.3681640625,27.350000381469727,3261.25,27.5,5002.5,83.75,7962.5,417.5
55,13510154,21.2197265625,27.299999237060547,3263.75,26.25,5003.75,83.75,7991.25,465.0
56,13511154,21.3251953125,27.309999465942383,3265.0,22.5,5003.75,65.0,7998.75,416.25
57,13512154,21.5439453125,27.229999542236328,3263.75,25.0,5002.5,65.0,8001.25,400.0
58,13513154,22.1982421875,27.229999542236328,3262.5,21.25,5002.5,65.0,7981.25,438.75
59,13514154,21.814453125,27.280000686645508,3256.25,36.25,5003.75,65.0,7993.75,480.0
60,13515154,21.919921875,27.270000457763672,3262.5,30.0,5005.0,85.0,7992.5,418.75
61,13516154,22.0771484375,27.149999618530273,3265.0,21.25,5003.75,65.0,7996.25,401.25
62,13517154,22.638671875,27.149999618530273,3265.0,21.25,5003.75,65.0,7990.0,480.0
63,13518154,22.2138671875,27.06999969482422,3266.25,20.0,5003.75,65.0,7988.75,410.0
64,13519154,22.3291015625,27.040000915527344,3263.75,21.25,5002.5,63.75,7998.75,428.75
65,13520154,22.6904296875,27.020000457763672,3265.0,21.25,5005.0,65.0,7976.25,425.0
66,13521154,21.578125,26.969999313354492,3263.75,21.25,5003.75,65.0,7996.25,496.25
67,13522154,22.228515625,26.639999389648438,3265.0,21.25,5002.5,85.0,7985.0,413.75
68,13523154,22.3125,26.690000534057617,3266.25,20.0,5003.75,63.75,8002.5,441.25
69,13524154,22.83984375,26.739999771118164,3263.75,22.5,5002.5,66.25,7982.5,393.75
70,13525154,22.9833984375,26.59000015258789,3258.75,21.25,5001.25,65.0,8002.5,442.5
71,13526154,23.2275390625,26.559999465942383,3265.0,22.5,5003.75,82.5,7973.75,413.75
72,13527154,23.001953125,26.479999542236328,3257.5,35.0,5003.75,83.75,7975.0,451.25
73,13528154,23.4072265625,26.43000030517578,3263.75,25.0,5002.5,65.0,7970.0,446.25
